key;version;w_key;w_wins1v1;w_wins2v2;l_key;l_wins1v1;l_wins2v2;date;notes
119;1.09v2;ECTH;5;0;DOBBY;0;0;2021-06-04;
118;NO_SCORE_MODE;DOBBY;0;0;SAURON;0;0;2021-06-04;
117;1.09v2;ECTH;5;0;OTTO;1;0;2021-06-03;
116;NO_SCORE_MODE;DOBBY;0;0;GOSPURE;0;0;2021-06-02;
115;NO_SCORE_MODE;DOBBY;0;0;MISHA;0;0;2021-05-31;
114;1.09v2;ECTH;5;0;OTTO;1;0;2021-05-31;
113;KICK_AND_ADD_AT_10;MUSTAFA;0;0;ANDY;0;0;2021-05-25;Undy asked to be removed.
112;1.09v2;HALET;5;0;LOLO;1;0;2021-05-25;
111;1.09v2;MISHA;5;0;ENUMA;1;0;2021-05-25;
110;KICK_AND_ADD_AT_10;PIKACHU;0;0;AHWE;0;0;2021-05-24;
109;1.09v2;SAURON;5;0;ECTH;1;0;2021-05-24;
108;1.09v2;ECTH;5;0;KURDISH;2;0;2021-05-17;
107;NO_SCORE_MODE;OTTO;0;0;GOSPURE;0;0;2021-05-11;
106;1.09v2;HALET;5;0;MISHA;3;0;2021-04-26;
105;1.09v2;OTTO;5;0;NATHAN;1;0;2021-04-24;
104;1.09v2;ECTH;5;0;LUXUS;4;0;2021-04-23;
103;1.09v2;MISHA;5;0;OTTO;4;0;2021-04-23;
102;1.09v2;MISHA;5;0;OTTO;3;0;2021-04-21;
101;1.09v2;MISHA;5;0;HALET;0;0;2021-04-13;
100;1.09v2;GOSPURE;5;0;NATHAN;2;0;2021-04-11;
99;1.09v2;GOSPURE;4;0;ANDY;2;0;2021-04-08;
98;1.09v2;HALET;5;0;JEDGAR;0;0;2021-04-03;
97;1.09v2;ANDY;5;0;MISHA;4;0;2021-04-02;
96;1.09v2;NATHAN;5;0;MISHA;1;0;2021-04-02;
95;1.09v2;NATHAN;5;0;ANDY;3;0;2021-04-01;
94;KICK_AND_ADD_AT_10;GANNICUS;0;0;TEMPT;0;0;2021-04-01;tempt asked to be removed from the list.
93;NO_SCORE_MODE;HALET;0;0;TEMPT;0;0;2021-04-01;
92;NO_SCORE_MODE;MISHA;0;0;OTTO;0;0;2021-04-01;
